Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
5/31/2013,452.5,457.1,449.5,449.735,13725100,0,1,58.31608045,58.90890691,57.92945451,57.9597402,96075700
5/30/2013,445.65,454.5,444.51,451.58,12625700,0,1,57.43328454,58.57383109,57.28636668,58.19751516,88379900
5/29/2013,440,447.5,439.4,444.95,11806300,0,1,56.705139,57.67170387,56.62781381,57.34307182,82644100
5/28/2013,449.9,451.11,440.85,441.439,13790900,0,1,57.98100463,58.13694376,56.81468302,56.89059058,96536300
5/24/2013,440.85,445.66,440.36,445.15,9863100,0,1,56.81468302,57.43457329,56.75153412,57.36884688,69041700
5/23/2013,435.95,446.16,435.79,442.14,12607900,0,1,56.18319397,57.49901095,56.16257392,56.98093218,88255300
5/22/2013,444.05,448.3499,438.22,441.354,15822800,0,1,57.22708403,57.781235,56.47574094,56.87963618,110759600
5/21/2013,438.15,445.48,434.2,439.66,16286500,0,1,56.46671967,57.41137574,55.95766217,56.6613214,114005500
5/20/2013,431.91,445.8,430.1,442.93,16127800,0,1,55.6625377,57.45261584,55.42927338,57.08274368,112894600
5/17/2013,439.05,440.09,431.01,433.26,15282300,0,1,56.58270745,56.71673778,55.54654991,55.83651937,106976100
5/16/2013,423.24,437.85,418.9,434.578,21543000,0,1,54.54518871,56.42805708,53.98586984,56.00637704,150801000
5/15/2013,439.16,441,422.36,428.85,26486200,0,1,56.59688374,56.83401432,54.43177843,55.26817923,185403400
5/14/2013,453.85,455.2,442.15,443.86,15968500,0,1,58.49006213,58.66404381,56.98222093,57.20259772,111779500
5/13/2013,451.51,457.9,451.5,454.74,11319600,0,1,58.18849389,59.01200716,58.18720514,58.60476116,79237200
5/10/2013,457.97,459.71,450.48,452.97,11959000,0,1,59.02102843,59.24527148,58.05575232,58.37665185,83713000
5/9/2013,459.81,463,455.58,456.77,14231700,3.05,1,59.25815901,59.66927127,58.71301643,58.86637805,99621900
